experiment_name,use_focal_loss,positive_oversampling_ratio,optuna_valid_f1,test_acc,test_f1,test_precision,test_recall,test_fp,test_fn,test_tn,test_tp,elapsed_minutes
ce_no_oversampling,false,,0.9593887080798076,0.9892283720615135,0.9550974301044902,0.9431121026213051,0.967391304347826,204,114,25822,3382,132.67944393157958
focal_no_oversampling,true,,0.9593887080798076,0.9892622451053452,0.9551055091346835,0.9458625525946704,0.9645308924485125,193,124,25833,3372,133.53170038461684
focal_positive_oversampling_0p2,true,0.2,0.9593887080798076,0.9890590068423548,0.9543720864528888,0.9427853753837566,0.9662471395881007,205,118,25821,3378,146.03112738529842
focal_positive_oversampling_0p3,true,0.3,0.9593887080798076,0.988923514667028,0.9538200819093349,0.9419804741980474,0.9659610983981693,208,119,25818,3377,164.98319676717122
focal_positive_oversampling_0p4,true,0.4,0.9593887080798076,0.9883815459657205,0.9516969440923814,0.9373092926490985,0.9665331807780321,226,117,25800,3379,181.32879973649978
focal_positive_oversampling_0p5,true,0.5,0.9593887080798076,0.9883476729218887,0.9515492957746479,0.937291897891232,0.9662471395881007,226,118,25800,3378,198.5719442288081
focal_positive_oversampling_0p6,true,0.6,0.9593887080798076,0.9888218955355328,0.953573438379291,0.9382613510520488,0.9693935926773455,223,107,25803,3389,217.0248299519221
focal_positive_oversampling_0p7,true,0.7,0.9593887080798076,0.9883476729218887,0.9515629400168967,0.9370493621741541,0.9665331807780321,227,117,25799,3379,230.78032850027085
